date;portfolio;benchmark
10.06.2012;100;100
11.06.2012;101;99.5
12.06.2012;101.808;98.505
13.06.2012;101.095344;97.71696
14.06.2012;101.6008207;96.7397904
15.06.2012;102.4136273;97.51370872
16.06.2012;102.8232818;97.31868131
17.06.2012;103.0289284;97.41599999
18.06.2012;103.9561887;98.00049599
19.06.2012;104.7878382;97.11849152
20.06.2012;105.4165653;97.11849152
21.06.2012;106.3653143;96.82713605
22.06.2012;106.1525837;97.21444459
23.06.2012;106.0464311;97.21444459
24.06.2012;106.8948026;98.18658904
25.06.2012;107.8568558;99.07026834
26.06.2012;106.994001;99.07026834
27.06.2012;107.314983;98.574917
28.06.2012;108.3881328;99.06779158
29.06.2012;108.2797447;99.06779158
30.06.2012;109.3625421;99.66219833
01.07.2012;110.4561675;98.96456294
02.07.2012;110.6770799;99.95420857
03.07.2012;109.6809861;99.15457491
04.07.2012;108.9132192;98.46049288
05.07.2012;109.2399589;98.75587436
06.07.2012;110.1138786;98.16333911
07.07.2012;109.673423;97.27986906
08.07.2012;108.9057091;97.86354828
09.07.2012;109.5591433;98.64645666
10.07.2012;108.9017885;97.95593147
11.07.2012;108.6839849;96.97637215
12.07.2012;109.1187208;97.26730127
13.07.2012;109.446077;96.78096476
14.07.2012;108.5705084;97.16808862
15.07.2012;109.2219314;96.29357582
16.07.2012;109.877263;96.58245655
17.07.2012;109.6575085;95.71321444
18.07.2012;109.767166;94.85179551
19.07.2012;109.2183302;94.18783294
20.07.2012;108.6722385;93.90526944
21.07.2012;107.6941884;93.06012202
22.07.2012;106.8326349;92.22258092
23.07.2012;107.9009612;92.13035834
24.07.2012;108.0088622;91.76183691
25.07.2012;107.9008533;91.21126588
26.07.2012;107.0376465;91.21126588
27.07.2012;106.8235712;90.39036449
28.07.2012;107.1440419;89.48646085
29.07.2012;107.5726181;90.38132546
30.07.2012;108.6483443;90.74285076
31.07.2012;109.4088827;90.1076508
01.08.2012;108.3147939;89.65711255
02.08.2012;107.4482755;89.65711255
03.08.2012;106.5886893;90.28471234
04.08.2012;106.2689232;90.10414291
05.08.2012;106.0563854;89.29320562
06.08.2012;105.6321598;89.02532601
07.08.2012;104.9983669;88.22409807
08.08.2012;105.9433522;88.84166676
09.08.2012;105.5195788;87.95325009
10.08.2012;105.9416571;88.39301634
11.08.2012;105.6238321;88.39301634
12.08.2012;106.1519513;89.01176746
13.08.2012;107.0011669;88.21066155
14.08.2012;106.8941657;88.73992552
15.08.2012;107.9631074;88.38496582
16.08.2012;108.610886;88.38496582
17.08.2012;107.633388;87.76627106
18.08.2012;106.9875877;86.88860835
19.08.2012;106.2386746;86.62794252
20.08.2012;107.3010614;85.84829104
21.08.2012;107.3010614;86.1916842
22.08.2012;106.2280507;85.41595904
