date;portfolio;benchmark
01.01.2012;100;100
02.01.2012;101;100.6
03.01.2012;100.394;101.2036
04.01.2012;101.297546;101.4060072
05.01.2012;102.2092239;102.4200673
06.01.2012;101.3915501;103.546688
07.01.2012;101.9998994;103.9608748
08.01.2012;101.5918998;103.1291878
09.01.2012;102.6078188;103.1291878
10.01.2012;103.1208579;103.0260586
11.01.2012;103.8427039;102.8200065
12.01.2012;103.2196477;102.5115464
13.01.2012;102.6003298;103.2291273
14.01.2012;103.4211325;103.7452729
15.01.2012;104.1450804;104.4714898
16.01.2012;104.8740959;104.7849043
17.01.2012;104.5594737;103.946625
18.01.2012;103.7229979;103.7387318
19.01.2012;104.3453359;104.5686417
20.01.2012;103.5105732;105.7188967
21.01.2012;103.5105732;104.6617077
22.01.2012;102.578978;105.1850163
23.01.2012;103.6047678;104.6590912
24.01.2012;104.2263964;105.0777276
25.01.2012;103.2883588;104.8675721
26.01.2012;103.2883588;105.2870424
27.01.2012;102.2554752;105.4976165
28.01.2012;102.9712636;104.8646308
29.01.2012;104.1039475;105.4938186
30.01.2012;103.1670119;106.0212877
31.01.2012;103.1670119;105.9152664
01.02.2012;104.1986821;106.1270969
02.02.2012;104.5112781;105.3842072
03.02.2012;103.5706766;105.7003599
04.02.2012;104.709954;106.6516631
05.02.2012;105.3382138;106.0117531
06.02.2012;106.1809195;105.5877061
07.02.2012;106.7118241;105.6932938
08.02.2012;107.6722305;105.9046804
09.02.2012;107.6722305;105.2692523
10.02.2012;106.9185249;106.3219448
11.02.2012;106.4908508;105.4713693
12.02.2012;105.4259423;106.526083
13.02.2012;105.6367942;107.5913438
14.02.2012;105.8480677;108.6672572
15.02.2012;105.9539158;108.993259
16.02.2012;105.9539158;109.2112455
17.02.2012;105.4241462;109.6480905
18.02.2012;105.8458428;110.7445714
19.02.2012;106.375072;111.2982943
20.02.2012;107.5451978;110.9643994
21.02.2012;108.5131046;110.9643994
22.02.2012;109.2726963;110.0766842
23.02.2012;108.3985148;111.177451
24.02.2012;109.2657029;112.400403
25.02.2012;109.8120314;111.9508014
26.02.2012;111.0199637;112.174703
27.02.2012;112.2411833;112.7355765
28.02.2012;111.7922186;113.7501967
29.02.2012;110.6742964;113.2951959
01.03.2012;111.1169936;113.4084911
02.03.2012;111.7836956;113.2950826
03.03.2012;112.6779651;112.3887219
04.03.2012;112.6779651;112.6134994
05.03.2012;113.241355;111.7125914
06.03.2012;114.4870099;110.5954655
07.03.2012;114.2580358;111.3696337
08.03.2012;113.8010037;112.0378515
09.03.2012;114.8252127;111.2535866
10.03.2012;115.0548632;110.2523043
11.03.2012;115.9753021;110.9138181
12.03.2012;114.9315243;111.9120425
13.03.2012;114.0120722;112.3596907
14.03.2012;113.3279997;112.4720504
15.03.2012;112.6480317;113.4842988
16.03.2012;113.661864;113.1438459
17.03.2012;112.5252454;112.6912705
18.03.2012;112.6377706;113.3674181
19.03.2012;113.6515105;113.9342552
20.03.2012;114.4470711;115.187532
21.03.2012;115.2482006;116.4545949
22.03.2012;114.2109668;115.2900489
23.03.2012;115.4672874;114.3677286
24.03.2012;115.8136893;114.8251995
25.03.2012;114.8871798;115.0548499
26.03.2012;116.0360516;113.9043014
27.03.2012;116.1520876;113.6764928
28.03.2012;116.1520876;112.7670808
29.03.2012;117.0813043;112.6543137
30.03.2012;117.315467;113.8935112
31.03.2012;116.6115742;114.6907658
01.04.2012;117.194632;115.0348381
02.04.2012;116.3742696;114.6897336
03.04.2012;116.8397667;113.657526
04.04.2012;116.8397667;112.8619233
05.04.2012;117.8913246;113.8776806
06.04.2012;116.948194;114.3331913
07.04.2012;116.2465048;114.9048573
08.04.2012;115.8977653;115.2495718
09.04.2012;116.1295608;115.480071
10.04.2012;116.1295608;116.4039115
11.04.2012;116.4779495;117.102335
12.04.2012;117.4097731;117.9220514
13.04.2012;116.7053145;117.6862073
14.04.2012;116.4719038;118.8630693
15.04.2012;117.0542634;118.9819324
16.04.2012;117.6395347;118.2680408
17.04.2012;116.4631393;117.4401645
18.04.2012;117.5113076;116.9704039
19.04.2012;117.6288189;117.6722263
20.04.2012;117.7464477;118.3782596
21.04.2012;117.5109548;119.3252857
22.04.2012;117.7459767;119.3252857
23.04.2012;117.1572468;119.3252857
24.04.2012;116.6886179;120.0412374
25.04.2012;116.8053065;121.361691
26.04.2012;117.8565542;121.9684995
27.04.2012;118.5636936;120.9927515
28.04.2012;118.4451299;120.750766
29.04.2012;118.8004653;119.6640091
30.04.2012;117.968862;118.706697
01.05.2012;116.9071422;119.7750573
02.05.2012;115.9718851;119.5355072
03.05.2012;115.8559132;118.5792231
04.05.2012;115.5083455;118.2234855
05.05.2012;115.7393622;119.0510499
06.05.2012;116.8967558;119.7653562
07.05.2012;116.5460655;120.9630097
08.05.2012;117.8280722;120.3581947
09.05.2012;117.1211038;120.2378365
10.05.2012;117.1211038;120.3580743
11.05.2012;115.9498928;120.3580743
12.05.2012;117.1093917;120.2377162
13.05.2012;116.7580635;119.8770031
14.05.2012;117.8088861;120.7161421
15.05.2012;117.8088861;121.8025874
16.05.2012;118.8691661;121.0717719
17.05.2012;120.0578577;121.3139154
18.05.2012;120.0578577;122.6483685
19.05.2012;121.1383785;121.7898299
20.05.2012;120.7749633;122.1551994
21.05.2012;120.8957383;122.7659754
22.05.2012;121.2584255;122.2749115
23.05.2012;120.8946502;121.541262
24.05.2012;120.4110716;120.3258494
25.05.2012;120.5314827;119.2429168
26.05.2012;120.2904197;118.6467022
27.05.2012;120.1701293;117.8161753
28.05.2012;121.0113202;118.28744
29.05.2012;121.8583995;118.5240148
30.05.2012;122.2239747;119.590731
31.05.2012;123.3239904;120.3082754
01.06.2012;122.4607225;119.2255009
02.06.2012;122.0933403;118.7485989
03.06.2012;121.971247;118.9860961
04.06.2012;122.947017;120.175957
05.06.2012;123.561752;119.2145494
06.06.2012;123.4381903;120.1682658
07.06.2012;122.8209993;119.4472562
08.06.2012;121.5927893;120.0444925
09.06.2012;122.2007533;118.964092
10.06.2012;122.5673556;117.8934152
11.06.2012;121.341682;117.7755218
12.06.2012;122.0697321;118.8355015
13.06.2012;122.3138716;120.0238565
14.06.2012;122.5584993;119.0636656
15.06.2012;121.7005898;119.1827293
16.06.2012;120.4835839;119.778643
17.06.2012;120.6040675;119.6588643
18.06.2012;120.8452756;118.7015934
19.06.2012;119.8785134;118.226787
20.06.2012;119.6387564;119.0543745
21.06.2012;120.4762277;119.6496464
